date,match_id,venue,batting_team,bowling_team,innings_number,batting_position,player_career_runs_avg,player_vs_opponent_runs_avg,tree_predicted_runs,tree_upside_predicted_runs,tree_absolute_error,tree_50_plus_probability,nn_predicted_runs,nn_absolute_error,nn_50_plus_probability,actual_runs,actual_50_plus
2026-03-28,1527674,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,1,5,32.888888888888886,32.666666666666664,26.1,36.0,4.899999999999999,0.137,31.7,0.6999999999999993,0.114,31,False
2026-04-02,1527679,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,1,4,32.84782608695652,39.875,30.0,34.2,22.0,0.142,30.7,21.3,0.114,52,True
2026-04-05,1527683,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,1,5,33.255319148936174,40.0,26.5,38.4,35.5,0.123,31.3,30.7,0.142,62,True
2026-04-11,1527690,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,Punjab Kings,1,4,33.854166666666664,24.0,26.7,33.8,12.3,0.188,28.5,10.5,0.12,39,False
2026-04-13,1529264,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,1,4,33.95918367346939,31.6,26.7,40.2,13.3,0.204,32.9,7.100000000000001,0.154,40,False
2026-04-18,1529270,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,1,4,34.08,12.2,26.4,36.7,32.6,0.159,34.0,25.0,0.179,59,True
2026-04-21,1529274,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,1,4,34.568627450980394,26.8,25.3,37.1,11.7,0.173,33.6,3.3999999999999986,0.146,37,False
2026-04-25,1529279,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Rajasthan Royals,2,4,34.61538461538461,33.0,24.4,31.9,4.600000000000001,0.134,29.3,0.3000000000000007,0.078,29,False
2026-04-29,1529284,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,2,4,34.509433962264154,34.857142857142854,24.6,30.7,40.4,0.159,26.6,38.4,0.163,65,True
